ID,INITIAL,GOAL,BEBAN MUATAN (TON),REWARD,JENIS
1,Kabupaten Bondowoso,Kabupaten Pacitan,15,1655000,GAS
2,Kabupaten Bondowoso,Kabupaten Pacitan,25,2005000,PADAT
3,Kabupaten Bondowoso,Kabupaten Pacitan,30,2180000,CAIR
4,Kabupaten Bondowoso,Kabupaten Ponorogo,15,1465000,GAS
5,Kabupaten Bondowoso,Kabupaten Ponorogo,25,1815000,PADAT
6,Kabupaten Bondowoso,Kabupaten Ponorogo,30,1990000,CAIR
7,Kabupaten Bondowoso,Kabupaten Trenggalek,15,1425000,GAS
8,Kabupaten Bondowoso,Kabupaten Trenggalek,25,1775000,PADAT
9,Kabupaten Bondowoso,Kabupaten Trenggalek,30,1950000,CAIR
10,Kabupaten Bondowoso,Kabupaten Tulungagung,15,1352500,GAS
11,Kabupaten Bondowoso,Kabupaten Tulungagung,25,1702500,PADAT
12,Kabupaten Bondowoso,Kabupaten Tulungagung,30,1877500,CAIR
13,Kabupaten Bondowoso,Kabupaten Kediri,15,1277500,GAS
14,Kabupaten Bondowoso,Kabupaten Kediri,25,1627500,PADAT
15,Kabupaten Bondowoso,Kabupaten Kediri,30,1802500,CAIR
16,Kabupaten Bondowoso,Kabupaten Lumajang,15,772500,GAS
17,Kabupaten Bondowoso,Kabupaten Lumajang,25,1122500,PADAT
18,Kabupaten Bondowoso,Kabupaten Lumajang,30,1297500,CAIR
19,Kabupaten Bondowoso,Kabupaten Jember,15,610000,GAS
20,Kabupaten Bondowoso,Kabupaten Jember,25,960000,PADAT
21,Kabupaten Bondowoso,Kabupaten Jember,30,1135000,CAIR
22,Kabupaten Bondowoso,Kabupaten Banyuwangi,15,770000,GAS
23,Kabupaten Bondowoso,Kabupaten Banyuwangi,25,1120000,PADAT
24,Kabupaten Bondowoso,Kabupaten Banyuwangi,30,1295000,CAIR
25,Kabupaten Bondowoso,Kabupaten Situbondo,15,612500,GAS
26,Kabupaten Bondowoso,Kabupaten Situbondo,25,962500,PADAT
27,Kabupaten Bondowoso,Kabupaten Situbondo,30,1137500,CAIR
28,Kabupaten Bondowoso,Kota Probolinggo,15,760000,GAS
29,Kabupaten Bondowoso,Kota Probolinggo,25,1110000,PADAT
30,Kabupaten Bondowoso,Kota Probolinggo,30,1285000,CAIR
31,Kabupaten Bondowoso,Kota Pasuruan,15,852500,GAS
32,Kabupaten Bondowoso,Kota Pasuruan,25,1202500,PADAT
33,Kabupaten Bondowoso,Kota Pasuruan,30,1377500,CAIR
34,Kabupaten Bondowoso,Kabupaten Sidoarjo,15,990000,GAS
35,Kabupaten Bondowoso,Kabupaten Sidoarjo,25,1340000,PADAT
36,Kabupaten Bondowoso,Kabupaten Sidoarjo,30,1515000,CAIR
37,Kabupaten Bondowoso,Kota Mojokerto,15,1110000,GAS
38,Kabupaten Bondowoso,Kota Mojokerto,25,1460000,PADAT
39,Kabupaten Bondowoso,Kota Mojokerto,30,1635000,CAIR
40,Kabupaten Bondowoso,Kabupaten Jombang,15,1180000,GAS
41,Kabupaten Bondowoso,Kabupaten Jombang,25,1530000,PADAT
42,Kabupaten Bondowoso,Kabupaten Jombang,30,1705000,CAIR
43,Kabupaten Bondowoso,Kabupaten Nganjuk,15,1267500,GAS
44,Kabupaten Bondowoso,Kabupaten Nganjuk,25,1617500,PADAT
45,Kabupaten Bondowoso,Kabupaten Nganjuk,30,1792500,CAIR
46,Kabupaten Bondowoso,Kota Madiun,15,1390000,GAS
47,Kabupaten Bondowoso,Kota Madiun,25,1740000,PADAT
48,Kabupaten Bondowoso,Kota Madiun,30,1915000,CAIR
49,Kabupaten Bondowoso,Kabupaten Magetan,15,1452500,GAS
50,Kabupaten Bondowoso,Kabupaten Magetan,25,1802500,PADAT
51,Kabupaten Bondowoso,Kabupaten Magetan,30,1977500,CAIR
52,Kabupaten Bondowoso,Kabupaten Ngawi,15,1440000,GAS
53,Kabupaten Bondowoso,Kabupaten Ngawi,25,1790000,PADAT
54,Kabupaten Bondowoso,Kabupaten Ngawi,30,1965000,CAIR
55,Kabupaten Bondowoso,Kabupaten Bojonegoro,15,1305000,GAS
56,Kabupaten Bondowoso,Kabupaten Bojonegoro,25,1655000,PADAT
57,Kabupaten Bondowoso,Kabupaten Bojonegoro,30,1830000,CAIR
58,Kabupaten Bondowoso,Kabupaten Tuban,15,1277500,GAS
59,Kabupaten Bondowoso,Kabupaten Tuban,25,1627500,PADAT
60,Kabupaten Bondowoso,Kabupaten Tuban,30,1802500,CAIR
61,Kabupaten Bondowoso,Kabupaten Lamongan,15,1142500,GAS
62,Kabupaten Bondowoso,Kabupaten Lamongan,25,1492500,PADAT
63,Kabupaten Bondowoso,Kabupaten Lamongan,30,1667500,CAIR
64,Kabupaten Bondowoso,Kabupaten Gresik,15,1082500,GAS
65,Kabupaten Bondowoso,Kabupaten Gresik,25,1432500,PADAT
66,Kabupaten Bondowoso,Kabupaten Gresik,30,1607500,CAIR
67,Kabupaten Bondowoso,Kabupaten Bangkalan,15,1135000,GAS
68,Kabupaten Bondowoso,Kabupaten Bangkalan,25,1485000,PADAT
69,Kabupaten Bondowoso,Kabupaten Bangkalan,30,1660000,CAIR
70,Kabupaten Bondowoso,Kabupaten Sampang,15,1260000,GAS
71,Kabupaten Bondowoso,Kabupaten Sampang,25,1610000,PADAT
72,Kabupaten Bondowoso,Kabupaten Sampang,30,1785000,CAIR
73,Kabupaten Bondowoso,Kabupaten Pamekasan,15,1337500,GAS
74,Kabupaten Bondowoso,Kabupaten Pamekasan,25,1687500,PADAT
75,Kabupaten Bondowoso,Kabupaten Pamekasan,30,1862500,CAIR
76,Kabupaten Bondowoso,Kabupaten Sumenep,15,1470000,GAS
77,Kabupaten Bondowoso,Kabupaten Sumenep,25,1820000,PADAT
78,Kabupaten Bondowoso,Kabupaten Sumenep,30,1995000,CAIR
79,Kabupaten Bondowoso,Kota Surabaya,15,1042500,GAS
80,Kabupaten Bondowoso,Kota Surabaya,25,1392500,PADAT
81,Kabupaten Bondowoso,Kota Surabaya,30,1567500,CAIR
82,Kabupaten Bondowoso,Kota Blitar,15,1270000,GAS
83,Kabupaten Bondowoso,Kota Blitar,25,1620000,PADAT
84,Kabupaten Bondowoso,Kota Blitar,30,1795000,CAIR
85,Kabupaten Bondowoso,Kota Malang,15,1065000,GAS
86,Kabupaten Bondowoso,Kota Malang,25,1415000,PADAT
87,Kabupaten Bondowoso,Kota Malang,30,1590000,CAIR
88,Kabupaten Situbondo,Kabupaten Pacitan,15,1665000,GAS
89,Kabupaten Situbondo,Kabupaten Pacitan,25,2015000,PADAT
90,Kabupaten Situbondo,Kabupaten Pacitan,30,2190000,CAIR
91,Kabupaten Situbondo,Kabupaten Ponorogo,15,1472500,GAS
92,Kabupaten Situbondo,Kabupaten Ponorogo,25,1822500,PADAT
93,Kabupaten Situbondo,Kabupaten Ponorogo,30,1997500,CAIR
94,Kabupaten Situbondo,Kabupaten Trenggalek,15,1435000,GAS
95,Kabupaten Situbondo,Kabupaten Trenggalek,25,1785000,PADAT
96,Kabupaten Situbondo,Kabupaten Trenggalek,30,1960000,CAIR
97,Kabupaten Situbondo,Kabupaten Tulungagung,15,1362500,GAS
98,Kabupaten Situbondo,Kabupaten Tulungagung,25,1712500,PADAT
99,Kabupaten Situbondo,Kabupaten Tulungagung,30,1887500,CAIR
100,Kabupaten Situbondo,Kabupaten Kediri,15,1287500,GAS
101,Kabupaten Situbondo,Kabupaten Kediri,25,1637500,PADAT
102,Kabupaten Situbondo,Kabupaten Kediri,30,1812500,CAIR
103,Kabupaten Situbondo,Kabupaten Lumajang,15,850000,GAS
104,Kabupaten Situbondo,Kabupaten Lumajang,25,1200000,PADAT
105,Kabupaten Situbondo,Kabupaten Lumajang,30,1375000,CAIR
106,Kabupaten Situbondo,Kabupaten Jember,15,700000,GAS
107,Kabupaten Situbondo,Kabupaten Jember,25,1050000,PADAT
108,Kabupaten Situbondo,Kabupaten Jember,30,1225000,CAIR
109,Kabupaten Situbondo,Kabupaten Banyuwangi,15,762500,GAS
110,Kabupaten Situbondo,Kabupaten Banyuwangi,25,1112500,PADAT
111,Kabupaten Situbondo,Kabupaten Banyuwangi,30,1287500,CAIR
112,Kabupaten Situbondo,Kabupaten Bondowoso,15,622500,GAS
113,Kabupaten Situbondo,Kabupaten Bondowoso,25,972500,PADAT
114,Kabupaten Situbondo,Kabupaten Bondowoso,30,1147500,CAIR
115,Kabupaten Situbondo,Kota Probolinggo,15,770000,GAS
116,Kabupaten Situbondo,Kota Probolinggo,25,1120000,PADAT
117,Kabupaten Situbondo,Kota Probolinggo,30,1295000,CAIR
118,Kabupaten Situbondo,Kota Pasuruan,15,860000,GAS
119,Kabupaten Situbondo,Kota Pasuruan,25,1210000,PADAT
120,Kabupaten Situbondo,Kota Pasuruan,30,1385000,CAIR
121,Kabupaten Situbondo,Kabupaten Sidoarjo,15,1000000,GAS
